names.geno	Entry	Lines	stp2012	crk2012	stp2013	stp2014	stp2015	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
CARBOREA	Carborca		TR	TR	5 R	5R	20MRMS	3+	;	;2+	6	5	5.5
BAGE	Bage		10MS	20S	30 MRMS	20MS	20MS	0;	;	3+	4	10	7
TEZANOS_PINTOS_PRECOZ	Tezanos Pintos Precos		20MRMS	10MR	20 MR	40MRMS	20MRMS	0;	0;	3+	4	5	4.5
KENYA_PAGE_II	Kenya Page II		10RMR	5R	10 MR	10R	TR	3+	;1	4	4	5	4.5
GAZA	Gaza		TR	TR	5 R	5R	TR	;	;2-	2+	8	12	10
EGYPT_2100	Egypt 2100		TR	TR	-	5R	TR	-	3+	;3+	10	14	12
CHINESE	Chinese		-	10MSS	-	ww	40MS	3+	3+	-	-	-	-
AFRICAN_MAYO	African Mayo		80S	40S	40 MRMS	50MS	60MS	3+	;1	4	4	7	5.5
WAMPUM	Wampum		10RMR	10MS	40 MRMS	40MRMS	30MRMS	;12	22+	3+	8	12	10
RIVAL	Rival		-	30MS	50 MRMS	-Missing	-	-	;2	-	-	-	-
WARIGO	Warigo		50MSS	40MRMS	50 MS	60S	60MS	3+	-	-	-	19	19
ANIVERSARIO	Aniversario		40MS	10MS	20 MS	10MRMS	20MS	;22+	;	;2+3	22	17	19.5
WEEBILL1	Weebill 1		5MR	10MRMS	10 MR	5RMR	5R	3+	;12-	3+	14	5	9.5
VESTA	Vesta		90S	70S	50 MR	60MS	80S	3+	3+	3+	6	14	10
VEADEIRO	Veadeiro		-	-		ww	-	3+	3+	3+	-	-	-
WHITE_FEDERATION	White Federation		50MRMS	70S	20 MR	50S	60S	-	3+	-	10	18	14
GERARDO_594	Gerardo 594		TR	TR	5 R	20MRMS	5R	;12	3+	;2	16	14	15
SAWTANA	Sawtana		20MS	30MSS	10 MR	30MS	70S	3+	;12	3+	20	17	18.5
OVED_ZENATI	Oued Zenati 368		50S	20MRMS	50 MS	-	70MS	3+	3+	4	-	12	12
SUPRESA	Supresa		40S	20MSS	40 MRMS	50S	30MRMS	3+	;	4	2	7	4.5
TITAN	Titan		30MS	5MS	30 MS	10MRMS	30MS	;12	;	3+2+	20	17	18.5
MARICOPA	Maricopa		-	-	80 S	ww	80S	3+	-	3+	41	20	30.5
KLEIN_COMETA	Klein Cometa		20MR	40MSS	10 R	5R	20RMR	3+	;	3+	4	5	4.5
SURGUENTES_INTA	Surgentes INTA		90S	70S	80 S	80S	70S	;1	;12	4	4	4	4
HUELQUEN	Huelquen		40MS	60S	80 S	80S	50MS	;	3+	4	2	4	3
CURTIBA_2285	Curtiba 2285		20MRMS	20S	20 RMR	40MRMS	40MRMS	-	;1	4	6	12	9
DIAMANTE	Diamente		70MS	20S	60 MS	50MS	70MSS	-	;	4	4	4	4
EL_PATO	El Pato		20MS	5MS	30 MS	50S	50MS	0;	;	;3	4	4	4
TINAJONES	Tinajones		20RMR	5MSS	50 MR	20MRMS	20RMR	3+	3+	3+	4	5	4.5
PARTICIPACION	Participacion		-	30MS		ww	-	;	;	3+	41	-	41
SONKA_INTA	Sonka INTA		30MRMS	5MR	50 MR	40MRMS	30MRMS	0;	;	;23	4	4	4
SINVALOCHO_MA	Sinvalocho MA		40MRMS	TR	30 MR	30MS	5MRMS	3+	3+	4	8	12	10
CALDEN_INTA	Calden INTA		-	-	-	-Missing	-	-	-	-	-	-	-
JACQUI	Jacqui		TR	TR	10 R	TR	5R	3+	3+	;3+	6	12	9
KLEIN_IMPACTO	Klein Impacto		-	20S		10RMR	-	;	0;	3+;	18	-	18
PARAGUAY214	Paraqui 214		80S	60S	70 MS	50MS	-	;	0;	3+	12	-	12
MARCO_JUAREZ	Marco Juarez		50MS	30S	30 MS	40MRMS	10MS	3+	;	3+	15	12	13.5
HUENUFEN	Huenufen		50MS	50S/TR	40 MSS	ww	-	-	-	3+	26	-	26
ITAPUA5	Itapua 5		80S/TR	40S	50 MR	60MS	30MRMS	2+	;	-	4	4	4
ESTANZUELA_DOLORES	E. Dolores		90S	30MRMS	50 MS	80S	70S	;	;	3+	4	4	4
ESTANZUELA_DAKURU	E. Dakuru		TR	TR	20 MS	10RMR	5R	;	3+	-	2	4	3
E_DORADO	E. Dorado		50S	5S	40 MS	60S	-	0	0	-	6	-	6
GERARDO_594	Gerardo 594		TR	TR	TR	10RMR	TR	;12	3+	;2+	18	15	16.5
GLOSSY_HUGENOT	Glossy Hugenot		TR	TR	-	TR	5R	3+	3+	3+	12	6	9
HERCULES	Hercules		TR	5MRMS	TR	TR	5RMR	3+	-	3+	18	13	15.5
DUROS_BORDOS	Duros Bordos		TR	TR	TR	TR	-	3	-	-	14	-	14
ARENDETO	Arendeto		TR	20S	-	-Missing	10RMR	3	-	;	-	12	12
LAKOTA	Lakota		TR	TR	TR	TR	10MRMS	3+	3+	;22+	26	16	21
LEEDS	Leeds		TR	5MR	TR	TR	5R	3+	3+	;22+	20	12	16
KUBANKA	Kubanka		TR	TR	5 R	30RMR	10R	2+	3+	3	14	18	16
LANGDON	Langdon		TR	TR	TR	10MR	10RMR	3+	3+	3+	22	12	17
KARKOV	Karkov		20MRMS	-	20 MRMS	40MS	-	3+	3+	0	6	-	6
STEWART_63	Stewart 63		TR	TR	TR	ww	10R	;12	3+	22+	30	5	17.5
KYLE	Kyle		TR	TR	TR	5RMR	TR	3+	3+	3+;	18	14	16
LLOYD	Lloyd		TR	5MRMS	TR	5RMR	30MR	3+	3+	3+;	16	13	14.5
MEDORA	Medora		TR	TR	TR	TR	10RMR	3	3+	;13	12	12	12
MINDUM	Mindum		TR	TR	TR	ww	TR	-	3+	;12	30	19	24.5
VENCEDOR	Vencendor		TR	TR	10 R	10RMR	10RMR	2+;	3+	;2+3	6	7	6.5
ZERAMEK	Zeramek		TR	TR	TR	ww	TR	;2	3+	;	33	19	26
YAVOROS_79	Yavoros 79		TR	TR	TR	TR	TR	3+	3+	;22+	12	12	12
WASCANA	Wascana		TR	TR	-	TR	TR	-	-	-	22	20	21
BRENNAN	Brennan	AgriPro	TR	TR	20 MR	30RMR	30MRMS	;	;	;12	2	12	7
FREYR	Freyr	AgriPro	20RMR	10MS	40 MS	30RMR	20MRMS	;	;1	3	2	4	3
GUNNER	GUNNER	AgriPro	20MR	20MS	5 MR	10RMR	10RMR	0;	0;	3+	4	4	4
HAGAR	HAGAR	AgriPro	20RMR	5MS	30 MR	30MRMS	20RMR	;2	0;	2+3	2	4	3
HAMER	HAMER	AgriPro	40MRMS	TR	40 MR	50MRMS	20RMR	;	;	2+3	4	4	4
HANNA	Hanna	AgriPro	50MS	30MS	50 MRMS	50MS	60M	;	;	;22+	2	4	3
IVAN	IVAN	AgriPro	TR	5MR	10 RMR	30MRMS	5RMR	0;	0;	3;	2	12	7
JENNA	Jenna	AgriPro	TR	TR	30 MR	30MRMS	10MRMS	;	0;	;123	2	12	7
KELBY	Kelby	AgriPro	TR	TR	20 MR	30MRMS	10RMR	;1	0;	22+	4	6	5
KUNTZ	Kuntz	AgriPro	20MRMS	10MSS	30 MR	20RMR	10RMR	;	;	2+	2	4	3
LARS	LARS	AgriPro	20RMR	5MS	30 MR	40MS	60MRMS	;	;	3	2	4	3
NORA	NORA	AgriPro	40RMR	TR	20 RMR	40RMR	30RMR	0;	0;	3;	2	4	3
NORPRO	Norpro	AgriPro	-	5MS	10 MR	-	20MS	0;	0;	;2+3	-	4	4
SY_SOREN	SY-Soren	AgriPro	5RMR	TR	10 MR	30RMR	20RMR	;1	;	;22+	4	4	4
AC_BARRIE	AC BARRIE	Canada	50MRMS	40MS	40 MR	60MRMS	70MSS	;	;2	2+	6	4	5
CDC_BOUNTY	CDC BOUNTY	Canada	30MS	5S	40 MS	40MS	60MS	3+	3+	3+	6	12	9
ALBANY	Albany	Limagrain	TR	TR	TR	TR	5R	-	;1	3+;	10	5	7.5
BANTON	Banton	Limagrain	TR	TR	5 R	TR	TR	0;	0;	2+3;	4	5	4.5
BUCK_PRONTO	Buck Pronto	Limagrain	5RMR	TR	20 MR	10MRMS	20MRMS	0	0;	3+;	4	5	4.5
HAT_TRICK	Hat Trick	Limagrain	10MS	5S	40 MS	10MSS	10MS	-	-	0;	6	6	6
BACUP	BACUP	MN	40MS	TR	5 R	20MRMS	70MSS	;1-	;	33+;	8	0	4
CHRIS	CHRIS	MN	30MS	10MRMS	30 MRMS	40MRMS	40MRMS	3+	;2	3+	6	12	9
ERA	Era	MN	30MS	5RMR	40 MS	50MRMS	30MRMS	;	;12	3+	8	12	10
HJ-98	HJ98	MN	30MS	10MR	5 MR	20M	20MS	3+	;1	3+	4	7	5.5
MCVEY	MCVEY	MN	10MS	10MRMS	20 RMR	20RMR	20MRMS	22+	;1	3+	8	12	10
MN01333-A	MN01333-A	MN	TR	TR	TR	5R	5R	;	;2	;2	4	1	2.5
MN02072-7	MN02072-7	MN	TR	TR	5 R	10RMR	10MRMS	;	0;	-	4	1	2.5
MN03148	MN03148	MN	10RMR	TR	10 R	40MRMS	30RMR	;	;	;2	2	4	3
MN05209	MN05209	MN	5R	TR	TR	TR	10MRMMS	;1	;12-	3+;	4	4	4
MN06028	MN06028	MN	5R	TR	10 RMR	20RMR	20MRMS	;	;	;2+	4	4	4
MN06075-4	MN06075-4	MN	TR	TR	5 R	5R	TR	0	0;	0;	4	4	4
MN06113-8	MN06113-8	MN	-	TR	TR	5R	TR	-	-	0;	4	0	2
MN07098-6	MN07098-6	MN	TR	TR	30 MS	50S	50MS	0	0;	;23	6	4	5
