names.geno	Entry	Lines	stp2012	crk2012	stp2013	stp2014	stp2015	Race1	CA1.2	Field.Mix	Flower2014	Hdg2015	Hdg_avg	stp2013.sev	stp2013.it	stp2013.coi	stp2015.sev	stp2015.it	stp2015.coi
RL6044	TcLr 22a	RL 6044	TR	10MS	30 MR	20RMR	20MR	3+	3+	3+	6	12	9	30	0.4	12	20	0.4	8
RL6012	TcLr 23	RL 6012	TR5RMR	5MRMS	30 MRMS	30MRMS	30MRMSS	2+	3	3+	6	12	9	30	0.53	15.9	30	0.65	19.5
RL6064	TcLr 24	RL 6064	40S	20MSS	50 MSS	50S	70S	;1-	;	;3+	6	5	5.5	50	0.87	43.5	70	1	70
RL6084	TcLr 25	RL 6084	TR	TR	TR	10M	20MS	0;	;	;	6	12	9	2	0.2	0.4	20	0.8	16
RL6078	TcLr 26	RL 6078	40MRMS	30MRMS	50 MRMS	40MSS	80S	2+	;	;3+	6	5	5.5	50	0.53	26.5	80	1	80
RL6079	TcLr 28	RL 6079	50S	50S	60 S	50S	40MS	0;	;2	3+	6	12	9	60	1	60	40	0.8	32
RL6080	TcLr 29	RL 6080	TR	5RMR	5 MR	TR	TR	;	;	;12-	6	5	5.5	5	0.4	2	2	0.2	0.4
RL6049	TcLr 30	RL 6049	20MS	20MSS	30 MS	30MRMS	50MSS	;22+	;12-	3+	6	12	9	30	0.8	24	50	0.87	43.5
RL6086	TcLr 32	RL 6086	TR	20MRMS	30 MR	10RMR	20MRMS	-	;2	;2	6	5	5.5	30	0.4	12	20	0.53	10.6
RL6057	TcLr 33	RL 6057	20MS	20MRMS	40 MS	30MS	30MRMS	3+	3+	3+	6	12	9	40	0.8	32	30	0.53	15.9
RL6058	TcLr 34	RL 6058	30MS	5MS	40 MSS	30MSS	30MS	3+	3+	3+	6	12	9	40	0.87	34.8	30	0.8	24
RL6082	TcLr 35	RL 6082	5R	5R	10 R	5R	10R	3+	;2+	3+	6	12	9	10	0.2	2	10	0.2	2
NEP_MAN	TcLr 36	Nep-Man	TR	TR	TR	TR	TR	;	;	;23+	6	5	5.5	2	0.2	0.4	2	0.2	0.4
RL6081	TcLr 37	RL 6081	40S	30S	70 S	40MRMS	60S	3	3	4	6	6	6	70	1	70	60	1	60
RL6097	TcLr 38	RL 6097	TR	TR	20 RMR	TR	TR	;	;	0;	6	5	5.5	20	0.27	5.4	2	0.2	0.4
RL6147	TcLr 44	RL6147	10RMR	10RMR	50 MR	30MRMS	60MRMS	2+	3	3	6	5	5.5	50	0.4	20	60	0.53	31.8
RL6144	TcLr 45	RL6144	TR	TR	10 MR	10R	10MS	0;	;	;1	6	7	6.5	10	0.4	4	10	0.8	8
PAVON_753	Lr47	Pavon 753	TR	TR	TR	TR	TR	0;	0;	0;	14	7	10.5	2	0.2	0.4	2	0.2	0.4
RL6051	TcLr B	RL 6051	70S	60S	70 S	70S	70S	3+	3+	3+	6	7	6.5	70	1	70	70	1	70
F-7-3	Lr51	F-7-3	TR	TR	TR	TR	TR	;1-	;	;12-	6	12	9	2	0.2	0.4	2	0.2	0.4
RL6107	TcLr 52 (Lr W)	RL 6107	10R	5MSS	5 R	TR	10RMR	;1	;	;1	6	12	9	5	0.2	1	10	0.27	2.7
RL6172	TcLr60	RL6172	5MRMS	20MSS	30 S	10RMR	20MS	;2	;1	;1	6	7	6.5	30	1	30	20	0.8	16
RL6050	TcLr34, LrT3	RL6050	30MS	5MSS	40 MS	-	60MSS	3+	3+	3+	-	4	4	40	0.8	32	60	0.87	52.2
RL6077	TcLr67	RL6077	40MSS	20MRMS	50 MSS	70S	60MSS	3+	3+	3+	6	12	9	50	0.87	43.5	60	0.87	52.2
4-083	LrT3	4-083	80S	60S	70 S	80S	60MS	3+	3+	3+	6	4	5	70	1	70	60	0.8	48
4-090	LrT3	4-090	80S	50S	70 S	-	70S	3+	3+	3+	-	12	12	70	1	70	70	1	70
4-095	Lr12+?	4-095	20MRMS	20MSS	40 MSS	30MSS	30MRMS	3	;2	3+	8	12	10	40	0.87	34.8	30	0.53	15.9
4-056	TcLrEch	4-056	80S	40S	60 MSS	80S	70SMS	0;	;	3+;	8	12	10	60	0.87	52.2	70	0.93	65.1
4024	TcLrEG	4-024	-	50S	60 S	70S	70S	-	-	-	8	12	10	60	1	60	70	1	70
RL6083	Lr35	RL6083	TR	TR	10 MR	5R	10RMR	3+	3	3+	8	12	10	10	0.4	4	10	0.27	2.7
RL6093	Agropyron 	RL6093	20MR	20MRMS	40 MRMS	-	50MRMS	3+	3+	3+	-	12	12	40	0.53	21.2	50	0.53	26.5
RL6094	Lr38	RL6094	50S	30MSS	60 MSS	20MRMS80S	5R	;	;	4	8	12	10	60	0.87	52.2	5	0.2	1
RL6095	APR	RL6095	80S	30MRMS	70 MSS	70S	70S	3+	;2/3+	4	8	12	10	70	0.87	60.9	70	1	70
RL6096	seedling	RL6096	25MRMS	TR	10 MRMS	40MSS	40MRMS	3+	3+	4	8	12	10	10	0.53	5.3	40	0.53	21.2
RL6097	Lr38	RL6097	TR	TR	10 MR	TR	5R	;	;	0;	8	12	10	10	0.4	4	5	0.2	1
RL6061		RL6061	70S	50S	70 S	60S	80S/5R	3+	;22+	3+	8	7	7.5	70	1	70	55	0.73	40.33
RL6074		RL6074	70S	10MSS	50 MS	50MS	70S	3+	3+	3+	8	4	6	50	0.8	40	70	1	70
RL6105	LrT3	RL6105	80S	60S	80 S	80S	80S	3+	3+	3+	8	4	6	80	1	80	80	1	80
RL6137	Lr63	RL6137	-	10MRMS	20 RMR	20RMR	20RMR	-	-	;2	8	4	6	20	0.27	5.4	20	0.27	5.4
RL6148	Tc/spelt	RL6148	50MSS	50S	70 S	50MS	70S	3+	3+	3+	8	4	6	70	1	70	70	1	70
RL6149	TcLr64	RL6149	5R	TR	5 R	10RMR	10RMR	;1	3+	;22+	8	4	6	5	0.2	1	10	0.27	2.7
RL6158	Tc/V488	RL6158	50S	50S	70 S	70S	70S	3	3+	3+	8	12	10	70	1	70	70	1	70
RL6157	Tc/V860	RL6157	30S	50S	50 MSS	50S	70S	3+	3+	3+	8	5	6.5	50	0.87	43.5	70	1	70
RL6153	Tc/V624	RL6153	70S	50S	70 S	50S	70S	3+	3+	3+	8	5	6.5	70	1	70	70	1	70
RL6151	; gene	RL6151	TR	TR	TR	TR80S	TR	;22+	3+	;2	8	12	10	2	0.2	0.4	2	0.2	0.4
RL6103	Lr13+?	RL6103	20S	10MSS	40 MRMS	40MRMS	40MRMS	3+	;2	4	8	4	6	40	0.53	21.2	40	0.53	21.2
RL6070	Lr34+LrT3	RL6070	20MS	5MSS	30 MS	40MS	40MRMS	3+	3+	3+	8	4	6	30	0.8	24	40	0.53	21.2
TC*2/WGRC10_9	Tc*2Lr39/41	9	70S	40S	70 S	70S	70S	0;	3+	3+;	8	12	10	70	1	70	70	1	70
TC*2/WGRC10_6	Tc*2Lr39/41	6	60S	30S	70 S	70S	70S	0;	3+	3+;	8	4	6	70	1	70	70	1	70
TC*2/WGRC10_7	Tc*2Lr39/41	7	50S	40S	70 S	70S	50S	0;	3+	3+;	8	7	7.5	70	1	70	50	1	50
TC*2/WGRC11_2-1-1	Tc*2/Lr42	2-1-1	TR	TR	10 R	TR	TR	2+	;1	;22+	8	13	10.5	10	0.2	2	2	0.2	0.4
TC*2/WGRC11_2-1-2	Tc*2/Lr42	2-1-2	TR	TR	TR	TR	TR	22+	;	;22+	12	17	14.5	2	0.2	0.4	2	0.2	0.4
TC*2/WGRC11_4-2-3	Tc*2/Lr42	4-2-3	TR	TR	5 R	TR	10RMR	2+	;	;2+	6	4	5	5	0.2	1	10	0.27	2.7
TC*2/WGRC11_4-2-4	Tc*2/Lr42	4-2-4	TR	TR	10 R	TR	5RMR	22+	;	2+	6	6	6	10	0.2	2	5	0.27	1.35
TC*2/AM25E11-2A	Tc*2Lr46	Tc/Am25e 11-2a	5-10RMR	30MSS	40 MS	TR	20MRMS	3+	2+	2+	0	4	2	40	0.8	32	20	0.53	10.6
PAVON753	Lr47	Pavon753	TR	TR	TR	TR	TR	0;	0;	;	14	7	10.5	2	0.2	0.4	2	0.2	0.4
BRAMBLING	Brambling		TR	5MS	10 RMR	TR	10MRMS	2+	3+	3+	8	6	7	10	0.27	2.7	10	0.53	5.3
PARULA__S	Parula		TR	TR	TR	TR	TR	;2+3	;1	3+	12	6	9	2	0.2	0.4	2	0.2	0.4
PAVON76	Pavon 76		40MRMS	30MSS	40 MRMS	30MRMS	10MR/70S	0;	0;	3+;	10	4	7	40	0.53	21.2	30	0.6	18
ATILLA_2_STAR	Atilla*2/Star		20MS	10MRMS	TR	-	40MRMS	;12	;12	3	-	4	4	2	0.2	0.4	40	0.53	21.2
AC_TABER	AC Taber		10R	10RMR	30 MR	10RMR	10RMR	2+	;1	;13+	14	4	9	30	0.4	12	10	0.27	2.7
AC_CRYSTAL	AC Crystal		60MRMS	30RMR	10 MR	20RMR	30MRMS	-	;1	-	16	12	14	10	0.4	4	30	0.53	15.9
AC_ELSA	AC Elsa		20MRMS	TR	10 MS	20RMR	20MS	-	2	-	6	5	5.5	10	0.8	8	20	0.8	16
AC_KARMA	AC Karma		30MS	60S	40 MRMS	-	20MS	;12-	2	22+	-	12	12	40	0.53	21.2	20	0.8	16
AC_DOMAIN	AC Domain		50MRMS	50S	20 MR	40MSS	30MS	;	2	22+	6	4	5	20	0.4	8	30	0.8	24
GLENLEA	Glenlea		10MS	TR	30 MRMS	20MSS	10MS	0;	0;	3+	4	12	8	30	0.53	15.9	10	0.8	8
CDC_BOUNTY	CDC Bounty		30MS	5MS		-	40MS	3+	3+	3+	-	12	12	NA	NA	NA	40	0.8	32
AC_CADILLAC	AC Cadillac		10MS	5MS	20 MRMS	20M	30MS	0;	0;	3+	6	12	9	20	0.53	10.6	30	0.8	24
MCKENZIE	McKenzie		TR	5MS	10 R	5R	10MRMS	;	;	;2	4	4	4	10	0.2	2	10	0.53	5.3
CHINESE_SPRING	Chinese Spring		-	20S	-	-Missing	-	3+	3+	3+	-	-	-	NA	NA	NA	NA	NA	NA
SUMAI3	Sumai 3		10MRMS	10MRMS	-	-Missing	60MS	3+	3+	-	-	7	7	NA	NA	NA	60	0.8	48
WUHAN_3	Wuhan 3		40MRMS	10MS	-	-Missing	60MS	0;	3+	3+	-	12	12	NA	NA	NA	60	0.8	48
FUIJAN5114-3	Fuijan 5114-3		5R	5MS	10 RMR	-	30MRMS	;1	;1	3+;1	-	5	5	10	0.27	2.7	30	0.53	15.9
NING7840	Ning 7840		TR	5MS	TR	-Missing	5R	;2	;1	;3	20	15	17.5	2	0.2	0.4	5	0.2	1
CHRIS	Chris		30MRMS	5MR	20 MRMS	-	30MRMS	3+	;2+	3+	-	6	6	20	0.53	10.6	30	0.53	15.9
WHEATON	Wheaton		-	5MS	20 MRMS	30MRMS	20MRMS	;	-	0	4	5	4.5	20	0.53	10.6	20	0.53	10.6
ULEN	Ulen		5MR	TR	10 R	10RMR	5MRMS	;22+	;	3+;	4	5	4.5	10	0.2	2	5	0.53	2.65
NORM	Norm		5RMR	TR	10 RMR	30MRMS	10RMR	0;	0;	2+;	4	5	4.5	10	0.27	2.7	10	0.27	2.7
KNUDSON	Knudson		TR	TR	10 RMR	10RMR	5R	0;	0;	;	4	6	5	10	0.27	2.7	5	0.2	1
GLENN	Glenn		5MR	10MRMS	10 RMR	40MSS	20MS	0;	0;	3	6	4	5	10	0.27	2.7	20	0.8	16
OKLEE	Oklee		10RMR	5MR	30 MRMS	50MRMS	20RMR	3+	0;	;2	4	4	4	30	0.53	15.9	20	0.27	5.4
LEE	Lee		5MR	10MS	30 MRMS	30MRMS	60S	;	;12	3+	2	4	3	30	0.53	15.9	60	1	60
FALLER	Faller		5MR	10S	40 MSS	30S	50S	0	;	3+	4	4	4	40	0.87	34.8	50	1	50
RB07	RBO7		TR	5MRMS	10 RMR	5R	5R	;	;	;23+	2	4	3	10	0.27	2.7	5	0.2	1
BRIGGS	Briggs		TR	5MS	10 RMR	5R	10MRMS	0;	-	0;1	2	4	3	10	0.27	2.7	10	0.53	5.3
ADA	Ada		TR	5MS	20 MRMS	-	10MS	-	;1	3+;	-	4	4	20	0.53	10.6	10	0.8	8
MARSHALL	Marshall		10MRMS	10MRMS	20 MRMS	30MSS	20MS	0;	;	3+	8	12	10	20	0.53	10.6	20	0.8	16
CRIM	Crim		30MRMS	-	-	-Missing	40MRMS	0;	;1	0	-	5	5	NA	NA	NA	40	0.53	21.2
OXEN	Oxen		30MRMS	10MRMS	30 MS	40MS	20MS	0	0;	3+;	4	4	4	30	0.8	24	20	0.8	16
THATCHER	Thatcher		80S	50S	70 S	70S	90S	3+	3+	4	6	12	9	70	1	70	90	1	90
MARQUIS	Marquis		70S	50S	50 MSS	50MRMS	90S	3+	2+	3+	6	12	9	50	0.87	43.5	90	1	90
LITTLE_CLUB	Little Club		90S	60S	80 S	100S	90S	3+	3+	3+	-	-	-	80	1	80	90	1	90
BAART	Baart		60S	40S	80 S	50MS	70S	3	3+	3+	14	15	14.5	80	1	80	70	1	70
WESTPHAL12A	Westphal 12A		30MS	5S	40 MS	20RMR	5MS	3+	3+	4	18	18	18	40	0.8	32	5	0.8	4
TOROPI	Toropi		5R	TR	10 R	TR	5R	3+	3+	3+	8	1	4.5	10	0.2	2	5	0.2	1
FRONTANA	Frontana		5R	5S	TR	5R	5RMR	3+	;1	3+;	16	17	16.5	2	0.2	0.4	5	0.27	1.35
TERENZIO	Terenzio		10MS	5S	50 MS	30MS	40MS	;	0;	;2+3	10	12	11	50	0.8	40	40	0.8	32
AMERICANO26N	Americano 26N		10MS	30S	50 MSS	40MS	20MS	3	;	3+	20	17	18.5	50	0.87	43.5	20	0.8	16
E_TARARIRAS	E. Tarariras	B.G	-	10S	50 MSS	70S	50MS	;	0;	3+	6	4	5	50	0.87	43.5	50	0.8	40
ESTANZUELA_CALANDRIA	E. Calandria	LE2042 B.G	-	-	20 MRMS	10MSS	30MRMS	0;	0;	3+	4	12	8	20	0.53	10.6	30	0.53	15.9
ESTANZUELA_FEDERAL	E. Federal	B.G	-	-	TR	20MS	10RMR	;1-	;	3+;	22	-	22	2	0.2	0.4	10	0.27	2.7
ESTANZUELA_BENTEVEO	E. Benteveo	B.G	-	-	10 R	10RMR	5RMR	0;	;	;2+	8	12	10	10	0.2	2	5	0.27	1.35
ESTANZUELA_PELON90	E. Pelón 90	R03-9043	-	TR	20 R	TR	5MS	0	;	3+;	14	12	13	20	0.2	4	5	0.8	4
ESTANZUELA_HALCON	E. Halcón	B.G	20MRMS	30S	30 MRMS	20MSS	40MS	;	;1	;3	10	12	11	30	0.53	15.9	40	0.8	32
INIA_BOYERO	I. Boyero	B.G	5MR	TR	5 R	5R	5MR	;	;	;2	14	19	16.5	5	0.2	1	5	0.4	2
INIA_MIRLO	I. Mirlo	R11-3667	TRMR	TR	5 R	TR	5MR	0;	0;	;2+3	12	12	12	5	0.2	1	5	0.4	2
INIA_TIJERETA	I. Tijereta	R.ANO 2010	5MS	5MSS	-	-Missing	30MS	0	0;	;3+	-	12	12	NA	NA	NA	30	0.8	24
INIA_CABURE	I. Caburé	R11-3669	-	30MSS		-	-	;	0;	3+	-	-	-	NA	NA	NA	NA	NA	NA
INIA_GORRION	I. Gorrión	R10-13501	-	TR		10M	-	2+	;	;23	-	-	-	NA	NA	NA	NA	NA	NA
INIA_CHURRINCHE	I. Churrinche	R10-13502	5MR	TR	5 R	T5	10RMR	0;	0;	;3	8	12	10	5	0.2	1	10	0.27	2.7
INIA_TORCAZA	I. Torcaza	R11-3674	-	5S	TR	20M	10RMR	-	-	3+;	12	7	9.5	2	0.2	0.4	10	0.27	2.7
INIA_TERO	I. Tero	R11-3671	5MR	TR	10 M	5R	5R	0	0;	;	8	14	11	10	0.6	6	5	0.2	1
INIA_CARANCHO	I. Carancho	B.G	-	TR	10 R	TR	5R	;	0;	;23+	6	4	5	10	0.2	2	5	0.2	1
INIA_GARZA	I. Garza	R10-13503	-	-		TR	TR	;	0;	3+;	14	12	13	NA	NA	NA	2	0.2	0.4
INIA_DON_ALBERTO	I. Don Alberto	R10-13545	TR	TR	5 R	5MRMS	10RMR	;	0;	3+	12	18	15	5	0.2	1	10	0.27	2.7
INIA_CARPINTERO	I. Carpintero	R10-13547	TR	TR	TR	TR	TR	;	0;	;	18	19	18.5	2	0.2	0.4	2	0.2	0.4
INIA_MADRUGADOR	I. Madrugador	R10-13546	TR	TR	10 R	20MRMS	20RMR	;1-	;	;2	4	1	2.5	10	0.2	2	20	0.27	5.4
INIA_CHIMANGO	I. Chimango	R10-13538	TR	10MSS	TR	TR	TR	;	;	3+	4	12	8	2	0.2	0.4	2	0.2	0.4
BUCK_MANANTIAL	Buck Manantial	R03-2020	10MR	10MS	30 MRMS	10MRMS	10RMR	0;	0;	;2	0	5	2.5	30	0.53	15.9	10	0.27	2.7
BUCK_PANGARE	Buck Pangare	B.G	50MS	30S	20 M	5RMR	10RMR	3+	;1	3+	8	5	6.5	20	0.6	12	10	0.27	2.7
BUCK_TANDIL	Buck Tandil		-	-	-	ww	-	;	;	-	-	-	-	NA	NA	NA	NA	NA	NA
FAVORITO	Klein Favorito				-	ww	50S	;	;1	-	-	-	-	NA	NA	NA	50	1	50
BUCK_PONCHA	Buck Poncho	R03-2028	5MR	5MR	5 R	5R	10MRMS	;	;	2	22	12	17	5	0.2	1	10	0.53	5.3
BUCK_PUCARA	Buck Pucara	R03-1974	40MRMS	10MRMS	10 MR	25MRMS	10RMR	;	0;	3+		0	0	10	0.4	4	10	0.27	2.7
BUCK_QUEQUEN	Buck Quequen		50MS	5MS	40 MS	60MSS	10MS	3+	3+	3+	22	-	22	40	0.8	32	10	0.8	8
LE504	LE 504		10MRMS	TR	-	70S	40MS	-	-	-	8	4	6	NA	NA	NA	40	0.8	32
LE2094	LE 2094		TR	TR	5 R	TR	5R	0;	;	;3	2	4	3	5	0.2	1	5	0.2	1
LE1787	LE 1787		-	20MSS	-	-Missing	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA
LE1091	LE 1091		-	TR	-	20M	-	-	-	-	8	-	8	NA	NA	NA	NA	NA	NA
LE_1474	LE 1474		50MRMS	20MRMS	40 MR	40MRMS	50MRMS	;	0;	3+	4	5	4.5	40	0.4	16	50	0.53	26.5
LE_435	LE 435		40MRMS	5MS	20 RMR	50MS	40MS	;12-	0;	4	-	12	12	20	0.27	5.4	40	0.8	32
ANZA	Anza		80MS	20MSS	80 S	80S	60MSS	3+	;12-	4	4	12	8	80	1	80	60	0.87	52.2
CONDOR	Condor		40MS	30MSS	60 MSS	50MS	60MSS	3+	3+	3+	4	12	8	60	0.87	52.2	60	0.87	52.2
CRESPO63	Crespo 63		50MS	60S	80 S	50MSS	50MRMS	3+	-	-	6	12	9	80	1	80	50	0.53	26.5
CLEOPATRA	Cleopatra		10RMR	5MR	5 R	20MRMS	40RMR	-	-	-	16	12	14	5	0.2	1	40	0.27	10.8
CHOLI	Choli		20MRMS	5MS	30 MRMS	50MS	10MS	3+	3+	-	2	4	3	30	0.53	15.9	10	0.8	8
CHENAB70	Chenab 70		80S	50S	80 S	70S	80S	0;	0;	-	12	4	8	80	1	80	80	1	80
BONANZA	Bonanza		20MR	5MS	30 MR	40MRMS	-	-	-	-	4	-	4	30	0.4	12	NA	NA	NA
AZTECA67	Azteca 67		30MRMS	-	20 MR	30MRMS	20RMR	3+	;1	3+	4	4	4	20	0.4	8	20	0.27	5.4
ANAHUAC_75	Anahuac 75		-	10MS	-	-Missing	-	;	-	-	-	-	-	NA	NA	NA	NA	NA	NA
TESOPACO_76	Tesopaco 76		-	TR	-	-Missing	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA
ROQUE73	Roque 73		80MS	-	30 MRMS	60MS	30MRMS	;	;	3+;	0	0	0	30	0.53	15.9	30	0.53	15.9
QUETZAL75	Quetzal 75		5MR	10MS	50 MS	60MSS	60S	-	;	-	6	12	9	50	0.8	40	60	1	60
NAPO63	Napo 63		60MS	-	30 MRMS	60MS	-	3+	3	3+	2	5	3.5	30	0.53	15.9	NA	NA	NA
NOWESTA	Nowesta 		20MS	10MRMS	10 RMR	30MS	5RMR	;	;	;2	4	12	8	10	0.27	2.7	5	0.27	1.35
OLLANTA	Ollanta		60S	10S	40 MRMS	80S	50MRMS	3+	3	-	4	5	4.5	40	0.53	21.2	50	0.53	26.5
LERMA_ROJO64	Lerma Rojo 64		70S	-	50 MS	40MS	60S	;2	;	3+	4	0	2	50	0.8	40	60	1	60
JARAL66	Jaral 66		-	-	-	70S	70S	-	-	-	4	0	2	NA	NA	NA	70	1	70
INIA66	Inia 66		70S	40MRMS	50 MS	70S	70S	-	;	3+	4	0	2	50	0.8	40	70	1	70
GIZA155	Giza 155		20MS	10S	-	50MS	5MS	3+	;	3+	-	0	0	NA	NA	NA	5	0.8	4
SONALIKA	Sonalika		80S	-	60 MR	80S	70S	3+	;1	3+	6	0	3	60	0.4	24	70	1	70
GLENNSON	Glennson		TR	TR	5 R	5RMR	5R	0;	0;	;2	16	12	14	5	0.2	1	5	0.2	1
MARIA_ESCOBAR	Maria Escobar		TR	TR	30 MSS	50MS	5MS	;	;	3+	14	12	13	30	0.87	26.1	5	0.8	4
DELICIAS	Delicias		30RMR	20RMR	40 MR	20RMR	60MS	;	;	3+	14	5	9.5	40	0.4	16	60	0.8	48
CARBOREA	Carborca		TR	TR	5 R	5R	20MRMS	3+	;	;2+	6	5	5.5	5	0.2	1	20	0.53	10.6
BAGE	Bage		10MS	20S	30 MRMS	20MS	20MS	0;	;	3+	4	10	7	30	0.53	15.9	20	0.8	16
TEZANOS_PINTOS_PRECOZ	Tezanos Pintos Precos		20MRMS	10MR	20 MR	40MRMS	20MRMS	0;	0;	3+	4	5	4.5	20	0.4	8	20	0.53	10.6
KENYA_PAGE_II	Kenya Page II		10RMR	5R	10 MR	10R	TR	3+	;1	4	4	5	4.5	10	0.4	4	2	0.2	0.4
GAZA	Gaza		TR	TR	5 R	5R	TR	;	;2-	2+	8	12	10	5	0.2	1	2	0.2	0.4
EGYPT_2100	Egypt 2100		TR	TR	-	5R	TR	-	3+	;3+	10	14	12	NA	NA	NA	2	0.2	0.4
CHINESE	Chinese		-	10MSS	-	ww	40MS	3+	3+	-	-	-	-	NA	NA	NA	40	0.8	32
AFRICAN_MAYO	African Mayo		80S	40S	40 MRMS	50MS	60MS	3+	;1	4	4	7	5.5	40	0.53	21.2	60	0.8	48
WAMPUM	Wampum		10RMR	10MS	40 MRMS	40MRMS	30MRMS	;12	22+	3+	8	12	10	40	0.53	21.2	30	0.53	15.9
RIVAL	Rival		-	30MS	50 MRMS	-Missing	-	-	;2	-	-	-	-	50	0.53	26.5	NA	NA	NA
WARIGO	Warigo		50MSS	40MRMS	50 MS	60S	60MS	3+	-	-	-	19	19	50	0.8	40	60	0.8	48
ANIVERSARIO	Aniversario		40MS	10MS	20 MS	10MRMS	20MS	;22+	;	;2+3	22	17	19.5	20	0.8	16	20	0.8	16
WEEBILL1	Weebill 1		5MR	10MRMS	10 MR	5RMR	5R	3+	;12-	3+	14	5	9.5	10	0.4	4	5	0.2	1
VESTA	Vesta		90S	70S	50 MR	60MS	80S	3+	3+	3+	6	14	10	50	0.4	20	80	1	80
VEADEIRO	Veadeiro		-	-		ww	-	3+	3+	3+	-	-	-	NA	NA	NA	NA	NA	NA
WHITE_FEDERATION	White Federation		50MRMS	70S	20 MR	50S	60S	-	3+	-	10	18	14	20	0.4	8	60	1	60
GERARDO_594	Gerardo 594		TR	TR	5 R	20MRMS	5R	;12	3+	;2	16	14	15	5	0.2	1	5	0.2	1
SAWTANA	Sawtana		20MS	30MSS	10 MR	30MS	70S	3+	;12	3+	20	17	18.5	10	0.4	4	70	1	70
OVED_ZENATI	Oued Zenati 368		50S	20MRMS	50 MS	-	70MS	3+	3+	4	-	12	12	50	0.8	40	70	0.8	56
SUPRESA	Supresa		40S	20MSS	40 MRMS	50S	30MRMS	3+	;	4	2	7	4.5	40	0.53	21.2	30	0.53	15.9
TITAN	Titan		30MS	5MS	30 MS	10MRMS	30MS	;12	;	3+2+	20	17	18.5	30	0.8	24	30	0.8	24
MARICOPA	Maricopa		-	-	80 S	ww	80S	3+	-	3+	41	20	30.5	80	1	80	80	1	80
KLEIN_COMETA	Klein Cometa		20MR	40MSS	10 R	5R	20RMR	3+	;	3+	4	5	4.5	10	0.2	2	20	0.27	5.4
SURGUENTES_INTA	Surgentes INTA		90S	70S	80 S	80S	70S	;1	;12	4	4	4	4	80	1	80	70	1	70
HUELQUEN	Huelquen		40MS	60S	80 S	80S	50MS	;	3+	4	2	4	3	80	1	80	50	0.8	40
